Auction_key,Auction_seq,Auction_date,Appraisal_price,Minimum_sales_price,Auction_results
12,14,2017-04-13 00:00:00,110000000,14764000,dividend
13,1,2016-05-26 00:00:00,1400000000,1120000000,change
13,2,2016-09-22 00:00:00,1400000000,1120000000,Winning bid
13,3,2016-11-29 00:00:00,1400000000,1120000000,dividend
14,1,2014-12-09 00:00:00,1360000000,1360000000,change
14,2,2015-05-19 00:00:00,1360000000,1360000000,failure of auction
14,3,2015-06-16 00:00:00,1360000000,1088000000,change
14,4,2015-08-25 00:00:00,1360000000,1088000000,change
14,5,2015-11-03 00:00:00,1360000000,1088000000,change
14,6,2016-04-05 00:00:00,1360000000,1088000000,Winning bid
15,1,2015-10-13 00:00:00,1400000000,1400000000,change
15,2,2015-12-22 00:00:00,1400000000,1400000000,change
15,3,2016-03-15 00:00:00,1400000000,1400000000,failure of auction
15,4,2016-04-19 00:00:00,1400000000,1120000000,Winning bid
15,5,2016-07-12 00:00:00,1400000000,1120000000,dividend
16,1,2016-04-05 00:00:00,3300000000,3300000000,failure of auction
16,2,2016-05-10 00:00:00,3300000000,2640000000,Winning bid
16,3,2016-06-21 00:00:00,3300000000,2640000000,dividend
17,1,2014-12-16 00:00:00,650000000,650000000,failure of auction
17,2,2015-02-03 00:00:00,650000000,520000000,change
17,3,2016-05-17 00:00:00,650000000,520000000,Winning bid
17,4,2016-07-13 00:00:00,650000000,520000000,dividend
18,1,2015-03-12 00:00:00,690000000,690000000,failure of auction
18,2,2015-04-16 00:00:00,690000000,552000000,change
18,3,2015-12-17 00:00:00,690000000,552000000,change
18,4,2016-03-31 00:00:00,690000000,552000000,change
18,5,2017-06-15 00:00:00,690000000,552000000,Winning bid
18,6,2017-08-24 00:00:00,690000000,552000000,dividend
19,1,2014-12-03 00:00:00,520000000,520000000,failure of auction
19,2,2015-01-21 00:00:00,520000000,416000000,change
19,3,2017-02-08 00:00:00,520000000,416000000,Winning bid
19,4,2017-04-18 00:00:00,520000000,416000000,dividend
20,1,2015-11-24 00:00:00,640000000,640000000,failure of auction
20,2,2015-12-29 00:00:00,640000000,512000000,failure of auction
20,3,2016-02-02 00:00:00,640000000,409600000,Winning bid
20,4,2016-04-26 00:00:00,640000000,409600000,failure of auction
20,5,2016-05-31 00:00:00,640000000,327680000,change
20,6,2016-09-20 00:00:00,640000000,327680000,failure of auction
20,7,2016-10-25 00:00:00,640000000,262144000,Winning bid
20,8,2017-02-03 00:00:00,640000000,262144000,dividend
21,1,2016-06-16 00:00:00,1260000000,1260000000,failure of auction
21,2,2016-07-21 00:00:00,1260000000,1008000000,Winning bid
21,3,2016-08-25 00:00:00,1260000000,1008000000,dividend
22,1,2015-09-02 00:00:00,2265000000,2265000000,failure of auction
22,2,2015-10-14 00:00:00,2265000000,1812000000,Winning bid
22,3,2016-03-02 00:00:00,2265000000,2265000000,failure of auction
22,4,2016-04-06 00:00:00,2265000000,1812000000,change
22,5,2016-07-20 00:00:00,2265000000,1812000000,Winning bid
22,6,2016-10-18 00:00:00,2265000000,1812000000,dividend
23,1,2016-06-30 00:00:00,1780000000,1780000000,failure of auction
23,2,2016-08-11 00:00:00,1780000000,1424000000,failure of auction
23,3,2016-09-22 00:00:00,1780000000,1139200000,failure of auction
23,4,2016-10-27 00:00:00,1780000000,911360000,Winning bid
23,5,2017-01-24 00:00:00,1780000000,911360000,dividend
24,1,2016-04-28 00:00:00,890000000,890000000,Winning bid
24,2,2016-07-07 00:00:00,890000000,890000000,dividend
25,1,2015-05-19 00:00:00,620000000,620000000,failure of auction
25,2,2015-06-16 00:00:00,620000000,496000000,change
25,3,2016-04-05 00:00:00,620000000,496000000,Winning bid
25,4,2016-05-24 00:00:00,620000000,496000000,dividend
26,1,2015-05-19 00:00:00,618000000,618000000,failure of auction
26,2,2015-06-16 00:00:00,618000000,494400000,change
26,3,2016-04-05 00:00:00,618000000,494400000,Winning bid
26,4,2016-05-24 00:00:00,618000000,494400000,dividend
27,1,2015-05-19 00:00:00,608000000,608000000,failure of auction
27,2,2015-06-16 00:00:00,608000000,486400000,change
27,3,2016-04-05 00:00:00,608000000,486400000,Winning bid
27,4,2016-05-24 00:00:00,608000000,486400000,dividend
28,1,2015-05-19 00:00:00,608000000,608000000,failure of auction
28,2,2015-06-16 00:00:00,608000000,486400000,change
28,3,2016-04-05 00:00:00,608000000,486400000,Winning bid
28,4,2016-05-24 00:00:00,608000000,486400000,dividend
29,1,2015-05-19 00:00:00,618000000,618000000,failure of auction
29,2,2015-06-16 00:00:00,618000000,494400000,change
29,3,2016-04-05 00:00:00,618000000,494400000,Winning bid
29,4,2016-05-24 00:00:00,618000000,494400000,dividend
30,1,2015-08-05 00:00:00,751000000,751000000,failure of auction
30,2,2015-09-02 00:00:00,751000000,600800000,failure of auction
30,3,2015-10-14 00:00:00,751000000,480640000,change
30,4,2016-03-02 00:00:00,751000000,480640000,change
30,5,2016-04-06 00:00:00,751000000,480640000,Winning bid
30,6,2016-06-14 00:00:00,751000000,480640000,dividend
31,1,2015-12-01 00:00:00,2250000000,2250000000,failure of auction
31,2,2016-01-05 00:00:00,2250000000,1800000000,failure of auction
31,3,2016-02-16 00:00:00,2250000000,1440000000,Winning bid
31,4,2016-05-03 00:00:00,2250000000,1440000000,failure of auction
31,5,2016-06-07 00:00:00,2250000000,1152000000,Winning bid
31,6,2016-08-11 00:00:00,2250000000,1152000000,dividend
32,1,2015-08-04 00:00:00,970000000,970000000,change
32,2,2017-04-25 00:00:00,970000000,970000000,change
32,3,2017-09-19 00:00:00,970000000,970000000,Winning bid
32,4,2017-12-12 00:00:00,970000000,970000000,dividend
33,1,2016-03-15 00:00:00,890000000,890000000,failure of auction
33,2,2016-04-19 00:00:00,890000000,712000000,failure of auction
33,3,2016-05-24 00:00:00,890000000,569600000,failure of auction
33,4,2016-06-28 00:00:00,890000000,455680000,Winning bid
33,5,2016-09-13 00:00:00,890000000,455680000,payout
33,6,2016-10-04 00:00:00,890000000,455680000,dividend
34,2,2016-05-11 00:00:00,124000000,124000000,Winning bid
34,3,2016-07-26 00:00:00,124000000,124000000,dividend
35,1,2016-03-22 00:00:00,923000000,923000000,change
35,2,2016-04-26 00:00:00,923000000,923000000,Winning bid
35,3,2016-06-23 00:00:00,923000000,923000000,dividend
36,1,2016-02-23 00:00:00,1100000000,1100000000,failure of auction
36,2,2016-04-05 00:00:00,1100000000,880000000,Winning bid
36,3,2016-06-21 00:00:00,1100000000,880000000,dividend
37,1,2016-05-26 00:00:00,1700000000,1700000000,failure of auction
37,2,2016-06-30 00:00:00,1700000000,1360000000,change
37,3,2016-11-30 00:00:00,1700000000,1360000000,change
37,4,2017-03-30 00:00:00,1700000000,1360000000,Winning bid
37,5,2017-05-30 00:00:00,1700000000,1360000000,dividend
38,1,2016-09-22 00:00:00,460000000,460000000,Winning bid
38,2,2016-11-15 00:00:00,460000000,460000000,dividend
39,1,2016-03-23 00:00:00,680000000,680000000,failure of auction
39,2,2016-04-27 00:00:00,680000000,544000000,Winning bid
39,3,2016-06-23 00:00:00,680000000,544000000,dividend
40,1,2015-11-19 00:00:00,420000000,420000000,change
40,2,2015-12-31 00:00:00,420000000,420000000,change
40,3,2016-02-04 00:00:00,420000000,420000000,change
40,4,2016-08-11 00:00:00,420000000,420000000,Winning bid
40,5,2016-10-04 00:00:00,420000000,420000000,dividend
41,1,2016-01-26 00:00:00,3550000000,3550000000,change
41,2,2016-03-15 00:00:00,3550000000,3550000000,failure of auction
41,3,2016-04-19 00:00:00,3550000000,2840000000,Winning bid
41,4,2016-07-26 00:00:00,3550000000,2840000000,dividend
42,1,2015-09-23 00:00:00,3260000000,3260000000,change
42,2,2016-01-06 00:00:00,3260000000,3260000000,change
42,3,2016-10-26 00:00:00,3260000000,3260000000,change
42,4,2016-12-07 00:00:00,4100000000,4100000000,failure of auction
42,5,2017-01-04 00:00:00,4100000000,3280000000,Winning bid
42,6,2017-03-21 00:00:00,4100000000,3280000000,dividend
43,1,2016-04-26 00:00:00,1000000000,1000000000,failure of auction
43,2,2016-05-31 00:00:00,1000000000,800000000,change
43,3,2016-11-29 00:00:00,1000000000,800000000,failure of auction
43,4,2016-12-28 00:00:00,1000000000,640000000,Winning bid
43,5,2017-03-17 00:00:00,1000000000,640000000,dividend
44,1,2016-12-15 00:00:00,1450000000,1160000000,Winning bid
44,2,2017-02-23 00:00:00,1450000000,1160000000,dividend
45,1,2016-11-10 00:00:00,1150000000,1150000000,Winning bid
45,2,2017-01-19 00:00:00,1150000000,1150000000,dividend
46,1,2015-12-29 00:00:00,1100000000,1100000000,failure of auction
46,2,2016-02-02 00:00:00,1100000000,880000000,change
46,3,2016-09-20 00:00:00,1100000000,880000000,Winning bid
46,4,2016-12-02 00:00:00,1100000000,880000000,dividend
47,1,2016-04-05 00:00:00,2700000000,2700000000,failure of auction
47,2,2016-05-10 00:00:00,2700000000,2160000000,change
47,3,2016-07-19 00:00:00,2700000000,2160000000,Winning bid
47,4,2016-10-07 00:00:00,2700000000,2160000000,dividend
48,1,2016-04-26 00:00:00,2360000000,2360000000,failure of auction
48,2,2016-05-31 00:00:00,2360000000,1888000000,Winning bid
48,3,2016-08-26 00:00:00,2360000000,1888000000,dividend
49,1,2016-11-02 00:00:00,700000000,700000000,failure of auction
49,2,2016-12-14 00:00:00,700000000,560000000,failure of auction
49,3,2017-01-18 00:00:00,700000000,448000000,failure of auction
49,4,2017-02-22 00:00:00,700000000,358400000,Winning bid
49,5,2017-07-25 00:00:00,700000000,358400000,dividend
50,1,2016-03-15 00:00:00,830000000,830000000,failure of auction
50,2,2016-04-19 00:00:00,830000000,664000000,Winning bid
50,3,2016-06-28 00:00:00,830000000,664000000,dividend
51,1,2016-01-07 00:00:00,820000000,820000000,change
51,2,2016-03-17 00:00:00,820000000,820000000,change
51,3,2016-04-21 00:00:00,820000000,820000000,failure of auction
51,4,2016-06-02 00:00:00,820000000,656000000,Winning bid
51,5,2016-08-10 00:00:00,820000000,656000000,dividend
52,1,2016-06-21 00:00:00,1220000000,1220000000,Winning bid
52,2,2016-08-24 00:00:00,1220000000,1220000000,dividend
53,1,2015-12-29 00:00:00,900000000,900000000,failure of auction
53,2,2016-02-02 00:00:00,900000000,720000000,change
53,3,2016-04-26 00:00:00,900000000,720000000,change
53,4,2016-07-05 00:00:00,900000000,720000000,Winning bid
53,5,2016-09-09 00:00:00,900000000,720000000,dividend
54,1,2016-09-20 00:00:00,347000000,347000000,failure of auction
54,2,2016-10-25 00:00:00,347000000,277600000,Winning bid
54,3,2017-01-06 00:00:00,347000000,277600000,dividend
55,1,2016-02-11 00:00:00,1540000000,1540000000,failure of auction
55,2,2016-03-17 00:00:00,1540000000,1232000000,failure of auction
55,3,2016-04-21 00:00:00,1540000000,985600000,change
55,4,2016-06-02 00:00:00,1540000000,985600000,Winning bid
55,5,2016-09-07 00:00:00,1540000000,985600000,dividend
56,1,2015-12-23 00:00:00,1000000000,1000000000,change
56,2,2016-03-02 00:00:00,1000000000,1000000000,failure of auction
56,3,2016-04-06 00:00:00,1000000000,800000000,Winning bid
56,4,2016-06-14 00:00:00,1000000000,800000000,dividend
57,1,2016-03-23 00:00:00,1140000000,1140000000,failure of auction
57,2,2016-04-27 00:00:00,1140000000,912000000,failure of auction
57,3,2016-06-01 00:00:00,1140000000,729600000,Winning bid
57,4,2016-08-18 00:00:00,1140000000,729600000,dividend
58,1,2016-05-11 00:00:00,460000000,460000000,failure of auction
58,2,2016-06-15 00:00:00,460000000,368000000,Winning bid
58,3,2016-08-23 00:00:00,460000000,368000000,dividend
59,1,2016-03-29 00:00:00,480000000,480000000,failure of auction
59,2,2016-05-03 00:00:00,480000000,384000000,Winning bid
59,3,2016-07-14 00:00:00,480000000,384000000,dividend
60,1,2016-04-14 00:00:00,652000000,652000000,Winning bid
60,2,2016-07-15 00:00:00,652000000,652000000,dividend
61,1,2016-09-22 00:00:00,1752000000,1752000000,failure of auction
61,2,2016-10-27 00:00:00,1752000000,1401600000,failure of auction
61,3,2016-11-30 00:00:00,1752000000,1121280000,Winning bid
61,4,2017-02-07 00:00:00,1752000000,1121280000,dividend
62,1,2016-02-25 00:00:00,540000000,540000000,failure of auction
62,2,2016-03-31 00:00:00,540000000,432000000,Winning bid
62,3,2016-06-16 00:00:00,540000000,432000000,failure of auction
62,4,2016-07-21 00:00:00,540000000,345600000,failure of auction
62,5,2016-09-01 00:00:00,540000000,276480000,failure of auction
62,6,2016-10-13 00:00:00,540000000,221184000,failure of auction
62,7,2016-11-17 00:00:00,540000000,176947000,failure of auction
62,8,2016-12-15 00:00:00,540000000,141558000,failure of auction
62,9,2017-01-19 00:00:00,540000000,113246000,Winning bid
62,10,2017-03-23 00:00:00,540000000,113246000,dividend
63,1,2016-04-19 00:00:00,1190000000,1190000000,failure of auction
63,2,2016-05-24 00:00:00,1190000000,952000000,Winning bid
63,3,2016-08-09 00:00:00,1190000000,952000000,Winning bid
63,4,2016-10-04 00:00:00,1190000000,952000000,dividend
64,1,2016-04-26 00:00:00,530000000,530000000,failure of auction
64,2,2016-05-31 00:00:00,530000000,424000000,Winning bid
64,3,2016-08-26 00:00:00,530000000,424000000,dividend
65,1,2016-03-08 00:00:00,636000000,636000000,failure of auction
65,2,2016-04-12 00:00:00,636000000,508800000,Winning bid
65,3,2016-06-22 00:00:00,636000000,508800000,dividend
66,1,2016-03-10 00:00:00,900000000,900000000,failure of auction
66,2,2016-04-14 00:00:00,900000000,720000000,Winning bid
66,3,2016-06-17 00:00:00,900000000,720000000,dividend
67,1,2016-01-27 00:00:00,1200000000,1200000000,change
67,2,2016-06-15 00:00:00,1200000000,1200000000,failure of auction
67,3,2016-07-20 00:00:00,1200000000,960000000,failure of auction
67,4,2016-08-24 00:00:00,1200000000,768000000,Winning bid
67,5,2016-11-01 00:00:00,1200000000,768000000,dividend
68,1,2016-02-25 00:00:00,830000000,830000000,change
68,2,2016-05-12 00:00:00,830000000,830000000,Winning bid
68,3,2016-07-14 00:00:00,830000000,830000000,dividend
69,1,2016-03-10 00:00:00,1510000000,1510000000,failure of auction
69,2,2016-04-14 00:00:00,1510000000,1208000000,Winning bid
69,3,2016-06-17 00:00:00,1510000000,1208000000,dividend
70,1,2016-04-19 00:00:00,617000000,617000000,Winning bid
70,2,2016-06-28 00:00:00,617000000,617000000,dividend
71,1,2017-01-18 00:00:00,795000000,795000000,change
71,2,2017-02-22 00:00:00,795000000,795000000,Winning bid
71,3,2017-04-25 00:00:00,795000000,795000000,dividend
72,1,2016-05-03 00:00:00,651000000,651000000,failure of auction
72,2,2016-06-07 00:00:00,651000000,520800000,Winning bid
72,3,2016-07-28 00:00:00,651000000,520800000,dividend
73,1,2016-01-12 00:00:00,990000000,990000000,failure of auction
73,2,2016-02-23 00:00:00,990000000,792000000,failure of auction
73,3,2016-04-05 00:00:00,990000000,633600000,Winning bid
73,4,2016-06-21 00:00:00,990000000,633600000,dividend
74,1,2016-04-19 00:00:00,480000000,480000000,failure of auction
74,2,2016-05-24 00:00:00,480000000,384000000,Winning bid
74,3,2016-07-26 00:00:00,480000000,384000000,dividend
75,1,2016-08-16 00:00:00,516000000,516000000,change
75,2,2016-09-20 00:00:00,516000000,516000000,change
75,3,2016-11-29 00:00:00,516000000,516000000,Winning bid
75,4,2017-02-17 00:00:00,516000000,516000000,dividend
76,1,2016-04-14 00:00:00,1820000000,1820000000,failure of auction
76,2,2016-05-26 00:00:00,1820000000,1456000000,failure of auction
76,3,2016-06-30 00:00:00,1820000000,1164800000,failure of auction
76,4,2016-08-11 00:00:00,1820000000,931840000,Winning bid
76,5,2016-10-27 00:00:00,1820000000,931840000,failure of auction
76,6,2016-11-30 00:00:00,1820000000,745472000,Winning bid
76,7,2017-02-21 00:00:00,1820000000,745472000,dividend
77,1,2016-04-28 00:00:00,800000000,800000000,Winning bid
77,2,2016-07-07 00:00:00,800000000,800000000,dividend
78,1,2016-05-31 00:00:00,880000000,880000000,Winning bid
78,2,2016-08-26 00:00:00,880000000,880000000,dividend
79,1,2016-05-11 00:00:00,710000000,710000000,failure of auction
79,2,2016-06-15 00:00:00,710000000,568000000,change
79,3,2016-08-24 00:00:00,710000000,568000000,Winning bid
79,4,2016-10-18 00:00:00,710000000,568000000,dividend
80,1,2016-03-31 00:00:00,146000000,146000000,Winning bid
80,2,2016-06-16 00:00:00,146000000,146000000,failure of auction
80,3,2016-07-21 00:00:00,146000000,116800000,Winning bid
80,4,2017-03-23 00:00:00,146000000,116800000,dividend
81,1,2016-03-10 00:00:00,450000000,450000000,failure of auction
81,2,2016-04-14 00:00:00,450000000,360000000,Winning bid
81,3,2016-05-20 00:00:00,450000000,360000000,dividend
82,1,2016-03-02 00:00:00,4500000000,4500000000,failure of auction
82,2,2016-04-06 00:00:00,4500000000,3600000000,failure of auction
82,3,2016-05-11 00:00:00,4500000000,2880000000,Winning bid
82,4,2016-07-20 00:00:00,4500000000,2880000000,Winning bid
82,5,2016-10-04 00:00:00,4500000000,2880000000,dividend
83,1,2016-03-31 00:00:00,1550000000,1550000000,failure of auction
83,2,2016-05-12 00:00:00,1550000000,1240000000,change
83,3,2017-01-19 00:00:00,1550000000,1550000000,failure of auction
83,4,2017-03-16 00:00:00,1550000000,1240000000,failure of auction
83,5,2017-04-20 00:00:00,1550000000,992000000,Winning bid
83,6,2017-07-27 00:00:00,1550000000,992000000,dividend
84,1,2016-06-01 00:00:00,920000000,920000000,failure of auction
84,2,2016-07-06 00:00:00,920000000,736000000,Winning bid
84,3,2016-09-29 00:00:00,920000000,736000000,dividend
85,1,2016-03-24 00:00:00,1990000000,1990000000,failure of auction
85,2,2016-04-28 00:00:00,1990000000,1592000000,change
85,3,2016-07-14 00:00:00,1990000000,1592000000,Winning bid
85,4,2016-10-27 00:00:00,1990000000,1592000000,dividend
86,1,2016-06-07 00:00:00,1100000000,1100000000,failure of auction
86,2,2016-07-12 00:00:00,1100000000,880000000,Winning bid
86,3,2016-09-22 00:00:00,1100000000,880000000,dividend
87,1,2016-05-17 00:00:00,980000000,980000000,Winning bid
87,2,2016-07-20 00:00:00,980000000,980000000,dividend
88,1,2016-10-27 00:00:00,590000000,590000000,Winning bid
88,2,2016-12-13 00:00:00,590000000,590000000,dividend
89,1,2016-03-31 00:00:00,950000000,950000000,failure of auction
89,2,2016-05-12 00:00:00,950000000,760000000,Winning bid
89,3,2016-07-14 00:00:00,950000000,760000000,dividend
90,1,2016-04-28 00:00:00,1710000000,1710000000,failure of auction
90,2,2016-06-09 00:00:00,1710000000,1368000000,Winning bid
90,3,2016-07-21 00:00:00,1710000000,1368000000,dividend
91,1,2016-02-17 00:00:00,338000000,338000000,failure of auction
91,2,2016-03-23 00:00:00,338000000,270400000,change
91,3,2016-04-27 00:00:00,338000000,338000000,failure of auction
91,4,2016-06-01 00:00:00,338000000,270400000,Winning bid
91,5,2016-08-18 00:00:00,338000000,270400000,dividend
92,1,2016-04-14 00:00:00,760000000,760000000,Winning bid
92,2,2016-06-03 00:00:00,760000000,760000000,dividend
93,1,2016-06-07 00:00:00,2520000000,2520000000,failure of auction
93,2,2016-07-12 00:00:00,2520000000,2016000000,Winning bid
93,3,2016-08-25 00:00:00,2520000000,2016000000,dividend
94,1,2016-06-07 00:00:00,340000000,340000000,change
94,2,2017-03-14 00:00:00,680000000,680000000,failure of auction
94,3,2017-04-11 00:00:00,680000000,544000000,Winning bid
94,4,2017-06-15 00:00:00,680000000,544000000,dividend
95,1,2016-04-06 00:00:00,820000000,820000000,failure of auction
95,2,2016-05-11 00:00:00,820000000,656000000,failure of auction
95,3,2016-06-15 00:00:00,820000000,524800000,Winning bid
95,4,2016-08-09 00:00:00,820000000,524800000,dividend
96,1,2016-04-28 00:00:00,1030000000,1030000000,failure of auction
96,2,2016-06-09 00:00:00,1030000000,824000000,Winning bid
96,3,2016-08-18 00:00:00,1030000000,824000000,dividend
97,1,2016-05-26 00:00:00,2780000000,2780000000,failure of auction
97,2,2016-06-30 00:00:00,2780000000,2224000000,Winning bid
97,3,2016-09-06 00:00:00,2780000000,2224000000,dividend
98,1,2016-04-28 00:00:00,1700000000,1700000000,failure of auction
98,2,2016-06-09 00:00:00,1700000000,1360000000,Winning bid
98,3,2016-08-18 00:00:00,1700000000,1360000000,dividend
99,1,2016-06-30 00:00:00,420000000,420000000,failure of auction
99,2,2016-08-11 00:00:00,420000000,336000000,Winning bid
99,3,2016-10-04 00:00:00,420000000,336000000,dividend
100,1,2016-06-28 00:00:00,895000000,895000000,failure of auction
100,2,2016-08-09 00:00:00,895000000,716000000,Winning bid
100,3,2016-10-18 00:00:00,895000000,716000000,dividend
101,1,2016-04-27 00:00:00,1280000000,1280000000,failure of auction
101,2,2016-06-01 00:00:00,1280000000,1024000000,Winning bid
101,3,2016-07-21 00:00:00,1280000000,1024000000,dividend
102,1,2016-04-21 00:00:00,940000000,940000000,change
102,2,2016-06-02 00:00:00,940000000,940000000,change
102,3,2017-03-02 00:00:00,940000000,940000000,failure of auction
102,4,2017-04-06 00:00:00,940000000,752000000,Winning bid
102,5,2017-06-21 00:00:00,940000000,752000000,dividend
103,1,2016-02-17 00:00:00,1410000000,1410000000,change
103,2,2016-04-27 00:00:00,1410000000,1410000000,failure of auction
103,3,2016-06-01 00:00:00,1410000000,1128000000,Winning bid
103,4,2016-08-10 00:00:00,1410000000,1128000000,Winning bid
103,5,2016-10-27 00:00:00,1410000000,1128000000,dividend
104,1,2016-05-12 00:00:00,2270000000,2270000000,failure of auction
104,2,2016-06-16 00:00:00,2270000000,1816000000,change
104,3,2016-09-01 00:00:00,2270000000,1816000000,Winning bid
104,4,2016-11-03 00:00:00,2270000000,1816000000,dividend
105,1,2016-04-28 00:00:00,411000000,411000000,failure of auction
105,2,2016-06-09 00:00:00,411000000,328800000,Winning bid
105,3,2016-08-18 00:00:00,411000000,328800000,dividend
106,1,2016-06-01 00:00:00,770000000,770000000,failure of auction
106,2,2016-07-06 00:00:00,770000000,616000000,Winning bid
106,3,2016-09-29 00:00:00,770000000,616000000,dividend
107,1,2016-05-11 00:00:00,780000000,780000000,failure of auction
107,2,2016-06-15 00:00:00,780000000,624000000,Winning bid
107,3,2016-09-06 00:00:00,780000000,624000000,dividend
108,1,2016-05-12 00:00:00,230000000,230000000,failure of auction
108,2,2016-06-16 00:00:00,230000000,184000000,Winning bid
108,3,2016-08-11 00:00:00,230000000,184000000,dividend
109,2,2016-09-27 00:00:00,2810000000,2810000000,change
109,3,2016-12-06 00:00:00,2810000000,2810000000,Winning bid
109,4,2017-02-09 00:00:00,2810000000,2810000000,dividend
110,1,2016-06-28 00:00:00,5570000000,5570000000,failure of auction
110,2,2016-08-09 00:00:00,5570000000,4456000000,Winning bid
110,3,2016-10-04 00:00:00,5570000000,4456000000,dividend
111,1,2016-08-11 00:00:00,830000000,830000000,change
111,2,2016-10-27 00:00:00,830000000,830000000,change
111,3,2016-12-29 00:00:00,830000000,830000000,Winning bid
111,4,2017-03-21 00:00:00,830000000,830000000,dividend
112,1,2016-05-31 00:00:00,787000000,787000000,change
112,2,2016-09-20 00:00:00,787000000,787000000,Winning bid
112,3,2016-11-18 00:00:00,787000000,787000000,dividend
113,1,2016-06-21 00:00:00,1120000000,1120000000,Winning bid
