Auction_key,Auction_seq,Regist_type,Regist_class,Regist_date,Creditor,Regist_price
16,10021,Registered building set,injunction,20140717,Public,0
16,10022,Registered building set,injunction,20140730,Public,0
17,10001,Registered building set,ownership transfer,19960223,Private,0
17,10002,Registered building set,real distress,20130604,Public,0
17,10003,Registered building set,provisional attachment,20140424,Private,80000000
17,10004,Registered building set,provisional attachment,20140430,Public,20856720
17,10005,Registered building set,real distress,20140513,Public,0
17,10006,Registered building set,random auction,20140702,Public,0
17,10007,Registered building set,mortgage,20020206,Public,240000000
17,10008,Registered building set,mortgage,20020826,Public,120000000
17,10009,Registered building set,mortgage,20070309,Public,120000000
17,10010,Registered building set,mortgage,20110125,Public,114000000
17,10011,Registered building set,transfer,20140409,Public,18700000
17,10012,Registered building set,mortgage,20131107,Public,108000000
17,10013,Registered building set,mortgage,20140416,Private,26000000
17,10014,Registered building set,mortgage,20140516,Public,52800000
18,10001,Registered building set,ownership transfer,20021228,Private,0
18,10002,Registered building set,random auction,20140813,Public,0
18,10003,Registered building set,real distress,20141203,Public,0
18,10004,Registered building set,real distress,20150422,Public,0
18,10005,Registered building set,mortgage,20090720,Public,600000000
18,10006,Registered building set,mortgage,20130927,Private,220000000
18,10007,Registered building set,mortgage,20130927,Private,100000000
19,10001,Registered building set,ownership transfer,20060922,Private,0
19,10002,Registered building set,provisional attachment,20110810,Public,24275572
19,10003,Registered building set,real distress,20120627,Public,0
19,10004,Registered building set,real distress,20130910,Public,0
19,10005,Registered building set,random auction,20140819,Public,0
19,10006,Registered building set,mortgage,20080717,Public,216000000
19,10007,Registered building set,mortgage,20080717,Public,115200000
19,10008,Registered building set,mortgage,20120926,Public,57600000
20,10001,Registered building set,ownership transfer,20130730,Private,0
20,10002,Registered building set,compulsion,20140919,Private,0
20,10003,Registered building set,real distress,20151123,Public,0
21,10001,Registered building set,ownership transfer,20100629,Private,0
21,10002,Registered building set,provisional attachment,20140626,Public,189083112
21,10003,Registered building set,random auction,20141014,Public,0
21,10004,Registered building set,provisional attachment,20141128,Public,29323660
21,10005,Registered building set,provisional attachment,20150210,Public,54421219
21,10006,Registered building set,real distress,20150514,Public,0
21,10007,Registered building set,real distress,20160314,Public,0
21,10008,Registered building set,mortgage,20140206,Public,504000000
21,19992,Registered land separately,,99999999,Private,0
22,10001,Registered building set,ownership transfer,20020320,Private,0
22,10002,Registered building set,real distress,20130702,Public,0
22,10003,Registered building set,provisional attachment,20140320,Public,300000000
22,10004,Registered building set,provisional attachment,20140331,Public,141151905
22,10005,Registered building set,provisional attachment,20140402,Public,440000000
22,10006,Registered building set,provisional attachment,20140417,Public,100000000
22,10007,Registered building set,provisional attachment,20140422,Public,1000000000
22,10008,Registered building set,provisional attachment,20140425,Public,250000000
22,10009,Registered building set,provisional attachment,20140624,Public,151648560
22,10010,Registered building set,real distress,20140911,Public,0
22,10011,Registered building set,provisional attachment,20140930,Public,14114373
22,10012,Registered building set,real distress,20141017,Private,0
22,10013,Registered building set,random auction,20141103,Public,0
22,10014,Registered building set,real distress,20141112,Public,0
22,10015,Registered building set,mortgage,20101005,Public,1950000000
23,10001,Registered building set,ownership transfer,20080620,Private,0
23,10002,Registered building set,provisional attachment,20130206,Public,2563202647
23,10003,Registered building set,real distress,20130306,Public,0
23,10004,Registered building set,real distress,20130328,Public,0
23,10005,Registered building set,real distress,20140415,Public,0
23,10006,Registered building set,real distress,20140710,Public,0
23,10007,Registered building set,real distress,20140717,Public,0
23,10008,Registered building set,random auction,20141126,Public,0
23,10009,Registered building set,real distress,20150701,Public,0
23,10010,Registered building set,real distress,20151208,Public,0
23,10011,Registered building set,mortgage,20110304,Public,9750000000
23,10012,Registered building set,mortgage,20111101,Public,45500000000
24,10001,Registered building set,ownership transfer,19980225,Private,0
24,10002,Registered building set,provisional attachment,20140107,Private,787068493
24,10003,Registered building set,compulsion,20141125,Private,0
24,10004,Registered building set,mortgage,20140411,Private,600000000
24,10005,Registered building set,mortgage,20141124,Private,450000000
24,10006,Registered building set,mortgage,20141124,Private,450000000
24,10007,Registered building set,mortgage,20141124,Private,600000000
25,10001,Registered building set,ownership transfer,20141119,Public,0
25,10002,Registered building set,compulsion,20141128,Public,0
25,10003,Registered building set,provisional attachment,20150122,Public,185000000
25,10004,Registered building set,injunction,20150604,Public,0
25,10005,Registered building set,random auction,20150921,Public,0
25,10006,Registered building set,real distress,20150922,Public,0
25,10007,Registered building set,real distress,20160126,Public,0
25,10008,Registered building set,mortgage,20141119,Private,455000000
25,10009,Registered building set,the right of pledge,20151023,Public,455000000
26,10001,Registered building set,ownership transfer,20141119,Public,0
26,10002,Registered building set,compulsion,20141128,Public,0
26,10003,Registered building set,provisional attachment,20150122,Public,185000000
26,10004,Registered building set,injunction,20150604,Public,0
26,10005,Registered building set,random auction,20150806,Public,0
26,10006,Registered building set,real distress,20150922,Public,0
26,10007,Registered building set,mortgage,20141119,Private,455000000
26,10008,Registered building set,the right of pledge,20151023,Public,455000000
27,10001,Registered building set,ownership transfer,20141119,Public,0
27,10002,Registered building set,compulsion,20141128,Public,0
27,10003,Registered building set,provisional attachment,20150122,Public,185000000
27,10004,Registered building set,injunction,20150604,Public,0
27,10005,Registered building set,random auction,20150921,Public,0
27,10006,Registered building set,real distress,20150922,Public,0
27,10007,Registered building set,mortgage,20141119,Private,455000000
27,10008,Registered building set,the right of pledge,20151023,Public,455000000
28,10001,Registered building set,ownership transfer,20141119,Public,0
28,10002,Registered building set,compulsion,20141128,Public,0
28,10003,Registered building set,provisional attachment,20150122,Public,185000000
28,10004,Registered building set,injunction,20150604,Public,0
28,10005,Registered building set,random auction,20150828,Public,0
28,10006,Registered building set,real distress,20150922,Public,0
28,10007,Registered building set,mortgage,20141119,Public,455000000
28,10008,Registered building set,the right of pledge,20151222,Public,455000000
28,10009,Registered building set,the right of pledge,20151222,Private,117000000
29,10001,Registered building set,ownership transfer,20141119,Public,0
29,10002,Registered building set,compulsion,20141128,Public,0
29,10003,Registered building set,provisional attachment,20150122,Public,185000000
29,10004,Registered building set,injunction,20150604,Public,0
29,10005,Registered building set,random auction,20150828,Public,0
29,10006,Registered building set,real distress,20150922,Public,0
29,10007,Registered building set,mortgage,20141119,Public,455000000
29,10008,Registered building set,the right of pledge,20151222,Public,455000000
29,10009,Registered building set,the right of pledge,20151222,Private,117000000
30,10001,Registered building set,ownership transfer,20001122,Private,0
30,10002,Registered building set,random auction,20141223,Public,0
30,10003,Registered building set,real distress,20150109,Public,0
30,10004,Registered building set,mortgage,20001205,Public,400000000
30,10005,Registered building set,mortgage,20081118,Public,368000000
31,10001,Registered building set,ownership transfer,20060728,Private,0
31,10002,Registered building set,provisional registration,20080124,Private,0
31,10003,Registered building set,real distress,20080303,Public,0
31,10004,Registered building set,provisional attachment,20090319,Public,90000000
31,10005,Registered building set,real distress,20090824,Public,0
31,10006,Registered building set,provisional attachment,20111014,Public,28047280
31,10007,Registered building set,real distress,20121115,Public,0
31,10008,Registered building set,real distress,20140407,Public,0
31,10009,Registered building set,random auction,20141223,Public,0
31,10010,Registered building set,mortgage,20070912,Public,5320000000
32,10001,Registered building set,ownership transfer,20060302,Private,0
32,10002,Registered building set,random auction,20150102,Public,0
32,10003,Registered building set,mortgage,20060302,Public,600000000
32,10004,Registered building set,the right of pledge,20160318,Private,600000000
32,10005,Registered building set,mortgage,20111229,Public,670000000
33,10001,Registered building set,ownership transfer,20130220,Private,0
33,10002,Registered building set,compulsion,20150115,Public,0
33,10003,Registered building set,right to lease on a deposit basis,20140716,Private,570000000
34,10001,Registered building set,ownership transfer,19970519,Private,0
34,10002,Registered building set,random auction,20150116,Public,0
34,10003,Registered building set,mortgage,20061103,Public,164400000
34,10004,Registered building set,mortgage,20130328,Public,325000000
35,10001,Registered building set,ownership transfer,20151214,Public,0
35,10002,Registered building set,random auction,20150206,Public,0
35,10003,Registered building set,mortgage,20001012,Public,264000000
35,10004,Registered building set,mortgage,20040330,Public,420000000
35,10005,Registered building set,the right of lease,20150821,Private,16750000
36,10001,Registered building set,ownership transfer,20020222,Private,0
36,10002,Registered building set,provisional attachment,20150127,Public,685000000
36,10003,Registered building set,random auction,20150226,Public,0
36,10004,Registered building set,real distress,20151110,Public,0
36,10005,Registered building set,mortgage,20020311,Public,455000000
36,10006,Registered building set,mortgage,20030117,Public,1500000000
37,10001,Registered building set,ownership transfer,19821231,Private,0
37,10002,Registered building set,provisional attachment,20140716,Public,470000000
37,10003,Registered building set,real distress,20141127,Public,0
37,10004,Registered building set,real distress,20141216,Public,0
37,10005,Registered building set,random auction,20150130,Public,0
37,10006,Registered building set,random auction,20150302,Public,0
37,10007,Registered building set,real distress,20150804,Public,0
37,10008,Registered building set,mortgage,20020205,Private,180000000
37,10009,Registered building set,the right of pledge,20150703,Public,180000000
37,10010,Registered building set,mortgage,20060221,Private,0
37,10011,Registered building set,the right of pledge,20160623,Public,360000000
37,10012,Registered building set,the right of pledge,20160719,Private,150000000
37,10013,Registered building set,mortgage,20120426,Private,1690000000
37,10014,Registered building set,the right of pledge,20150703,Public,1690000000
38,10001,Registered building set,ownership transfer,20080212,Private,0
38,10002,Registered building set,real distress,20131113,Public,0
38,10003,Registered building set,provisional attachment,20131128,Public,4209924
38,10004,Registered building set,provisional attachment,20131223,Public,5000000
38,10005,Registered building set,provisional attachment,20140224,Public,44360021
38,10006,Registered building set,random auction,20150305,Public,0
38,10007,Registered building set,mortgage,20080212,Public,378000000
38,10008,Registered building set,mortgage,20120607,Private,120000000
39,10001,Registered building set,ownership transfer,20080814,Public,0
39,10002,Registered building set,provisional attachment,20140312,Public,280000000
39,10003,Registered building set,provisional attachment,20140515,Public,600000000
39,10004,Registered building set,random auction,20150327,Public,0
39,10005,Registered building set,mortgage,20110104,Public,600000000
40,10001,Registered building set,ownership transfer,20060310,Private,0
40,10002,Registered building set,provisional attachment,20140723,Public,88673470
40,10003,Registered building set,compulsion,20150403,Public,0
40,10004,Registered building set,mortgage,20060310,Public,169000000
41,10001,Registered building set,ownership transfer,20101007,Private,0
41,10002,Registered building set,random auction,20150410,Public,0
41,10003,Registered building set,mortgage,20140930,Public,4200000000
42,10001,Registered building set,ownership transfer,19851219,Private,0
42,10002,Registered building set,provisional attachment,20150401,Public,170000000
42,10003,Registered building set,random auction,20150417,Public,0
42,10004,Registered building set,provisional attachment,20150428,Public,425000000
42,10005,Registered building set,random auction,20150518,Public,0
42,10006,Registered building set,provisional attachment,20150821,Public,44067765
42,10007,Registered building set,mortgage,20090428,Private,2210000000
42,10008,Registered building set,the right of pledge,20150619,Public,2210000000
42,10009,Registered building set,mortgage,20090604,Public,500000000
42,10010,Registered building set,transfer,20150511,Public,93000000
42,10011,Registered building set,mortgage,20090929,Public,171000000
42,10012,Registered building set,mortgage,20120524,Public,240000000
42,10013,Registered building set,mortgage,20140808,Public,1200000000
42,10014,Registered building set,injunction,20150528,Public,0
42,10015,Registered building set,injunction,20150720,Public,0
43,10001,Registered building set,ownership transfer,20140526,Private,0
43,10002,Registered building set,provisional attachment,20150211,Private,102500000
43,10003,Registered building set,random auction,20150415,Private,0
43,10004,Registered building set,real distress,20150907,Public,0
43,10005,Registered building set,random auction,20160509,Public,0
43,10006,Registered building set,real distress,20160728,Public,0
43,10007,Registered building set,mortgage,20140925,Public,884000000
43,10008,Registered building set,the right of pledge,20160530,Public,884000000
43,10009,Registered building set,the right of pledge,20160720,Public,104000000
43,10010,Registered building set,mortgage,20150115,Private,120000000
44,10001,Registered building set,ownership transfer,20040303,Private,0
44,10002,Registered building set,provisional attachment,20140710,Public,127500000
44,10003,Registered building set,provisional attachment,20150302,Public,36735638
44,10004,Registered building set,random auction,20150427,Public,0
44,10005,Registered building set,random auction,20150515,Public,0
44,10006,Registered building set,provisional attachment,20160316,Public,16992545
44,10007,Registered building set,real distress,20160420,Public,0
44,10008,Registered building set,real distress,20160712,Public,0
44,10009,Registered building set,mortgage,20040406,Private,792000000
44,10010,Registered building set,the right of pledge,20150528,Public,792000000
44,10011,Registered building set,mortgage,20111111,Public,942500000
45,10001,Registered building set,ownership transfer,20050428,Private,0
45,10002,Registered building set,provisional attachment,20120417,Private,1640000
45,10003,Registered building set,provisional attachment,20120417,Private,3076550
45,10004,Registered building set,preservative measure,20130305,Public,0
45,10005,Registered building set,real distress,20130320,Public,0
45,10006,Registered building set,provisional attachment,20130419,Public,6483860
45,10007,Registered building set,compulsion,20150428,Private,0
45,10008,Registered building set,real distress,20150713,Public,0
45,10009,Registered building set,real distress,20151020,Public,0
45,10010,Registered building set,mortgage,20120309,Public,1120000000
46,10001,Registered building set,ownership transfer,20091229,Private,0
46,10002,Registered building set,real distress,20150205,Public,0
46,10003,Registered building set,provisional attachment,20150205,Public,540000000
46,10004,Registered building set,provisional attachment,20150414,Public,45397560
46,10005,Registered building set,provisional attachment,20150513,Public,72000000
46,10006,Registered building set,provisional attachment,20150518,Public,532400000
46,10007,Registered building set,random auction,20150520,Public,0
46,10008,Registered building set,provisional attachment,20150624,Public,316380898
46,10009,Registered building set,real distress,20150818,Public,0
46,10010,Registered building set,mortgage,20100730,Public,456000000
46,10011,Registered building set,mortgage,20121031,Public,240000000
47,10001,Registered building set,ownership transfer,20100330,Private,0
47,10002,Registered building set,random auction,20150521,Public,0
47,10003,Registered building set,provisional attachment,20151111,Public,51191775
47,10004,Registered building set,real distress,20151123,Public,0
47,10005,Registered building set,mortgage,20100330,Public,3120000000
47,10006,Registered building set,mortgage,20111207,Public,360000000
47,10007,Registered building set,mortgage,20140410,Public,600000000
47,10008,Registered building set,mortgage,20140428,Public,216000000
47,19992,Registered land separately,,99999999,Private,0
48,10001,Registered building set,ownership transfer,19850208,Private,0
48,10002,Registered building set,provisional attachment,20150520,Public,500000019
48,10003,Registered building set,provisional attachment,20150521,Public,625000000
48,10004,Registered building set,provisional attachment,20150521,Public,167000000
48,10005,Registered building set,provisional attachment,20150522,Public,208000000
48,10006,Registered building set,random auction,20150526,Public,0
48,10007,Registered building set,provisional attachment,20150604,Public,500000000
48,10008,Registered building set,provisional attachment,20150610,Public,1000000000
48,10009,Registered building set,provisional attachment,20150722,Public,87327644
48,10010,Registered building set,random auction,20150728,Public,0
48,10011,Registered building set,provisional attachment,20150915,Public,20122751
48,10012,Registered building set,real distress,20160321,Public,0
48,10013,Registered building set,mortgage,19880209,Public,156000000
48,10014,Registered building set,mortgage,19881010,Public,65000000
48,10015,Registered building set,mortgage,19881027,Public,26000000
48,10016,Registered building set,mortgage,20030902,Public,650000000
48,10017,Registered building set,mortgage,20060421,Public,800000000
48,10018,Registered building set,mortgage,20070806,Public,500000000
48,10019,Registered building set,mortgage,20140730,Public,1560000000
49,10001,Registered building set,ownership transfer,20130215,Private,0
49,10002,Registered building set,real distress,20150213,Public,0
49,10003,Registered building set,compulsion,20150527,Public,0
49,10004,Registered building set,provisional attachment,20150617,Public,66666666666
49,10005,Registered building set,real distress,20161006,Public,0
50,10001,Registered building set,ownership transfer,20060720,Private,0
50,10002,Registered building set,provisional attachment,20140521,Public,14277813
50,10003,Registered building set,provisional attachment,20141023,Private,31567100
50,10004,Registered building set,random auction,20150602,Public,0
50,10005,Registered building set,real distress,20151224,Public,0
50,10006,Registered building set,mortgage,20101230,Public,757000000
50,10007,Registered building set,mortgage,20120710,Public,65000000
50,10008,Registered building set,mortgage,20140922,Public,91200000
51,10001,Registered building set,ownership transfer,20070117,Private,0
51,10002,Registered building set,provisional attachment,20131129,Private,150000000
51,10003,Registered building set,provisional attachment,20141222,Public,250438599
51,10004,Registered building set,provisional attachment,20150312,Public,102291148
51,10005,Registered building set,random auction,20150603,Public,0
51,10006,Registered building set,mortgage,20070117,Public,130000000
52,10001,Registered building set,ownership transfer,20140220,Private,0
52,10002,Registered building set,random auction,20150616,Private,0
52,10003,Registered building set,random auction,20151021,Public,0
52,10004,Registered building set,real distress,20151109,Public,0
52,10005,Registered building set,mortgage,20141001,Public,669600000
52,10006,Registered building set,mortgage,20141001,Public,248300000
52,10007,Registered building set,mortgage,20141029,Private,60000000
52,10008,Registered building set,the right of pledge,20160510,Public,60000000
52,10009,Registered building set,mortgage,20141106,Private,320000000
53,10001,Registered building set,ownership transfer,19940404,Private,0
53,10002,Registered building set,real distress,20131212,Public,0
53,10003,Registered building set,real distress,20150420,Public,0
53,10004,Registered building set,provisional attachment,20150609,Public,15518635
53,10005,Registered building set,random auction,20150611,Public,0
53,10006,Registered building set,mortgage,20061113,Public,63600000
53,19992,Registered land separately,,99999999,Private,0
54,10001,Registered building set,ownership transfer,20130528,Private,0
54,10002,Registered building set,provisional attachment,20150610,Public,114440765
54,10003,Registered building set,random auction,20150622,Public,0
54,10004,Registered building set,real distress,20160104,Public,0
54,19992,Registered land separately,,99999999,Private,0
55,10001,Registered building set,ownership transfer,20060410,Private,0
55,10002,Registered building set,provisional attachment,20150416,Public,1287750000
55,10003,Registered building set,provisional attachment,20150424,Public,948569242
55,10004,Registered building set,provisional attachment,20150522,Public,615000000
55,10005,Registered building set,provisional attachment,20150619,Public,600000000
55,10006,Registered building set,random auction,20150709,Public,0
55,10007,Registered building set,provisional attachment,20150818,Public,398519831
55,10008,Registered building set,random auction,20150821,Public,0
55,10009,Registered building set,real distress,20160120,Public,0
55,10010,Registered building set,mortgage,20130530,Public,924000000
55,10011,Registered building set,mortgage,20131211,Public,480000000
56,10001,Registered building set,ownership transfer,20120413,Private,0
56,10002,Registered building set,real distress,20150202,Public,0
56,10003,Registered building set,real distress,20150312,Public,0
56,10004,Registered building set,random auction,20150629,Public,0
56,10005,Registered building set,provisional attachment,20150714,Public,96821192
56,10006,Registered building set,mortgage,20131113,Public,576000000
56,10007,Registered building set,mortgage,20131119,Public,240000000
56,10008,Registered building set,the right of pledge,20151127,Private,160000000
56,19992,Registered land separately,,99999999,Private,0
57,10001,Registered building set,ownership transfer,19970131,Private,0
57,10002,Registered building set,provisional attachment,20150521,Public,500000000
57,10003,Registered building set,provisional attachment,20150522,Public,212000000
57,10004,Registered building set,provisional attachment,20150529,Public,1433920000
57,10005,Registered building set,random auction,20150629,Public,0
57,10006,Registered building set,provisional attachment,20150629,Public,100000000
57,10007,Registered building set,provisional attachment,20150706,Public,116640636
57,10008,Registered building set,real distress,20151111,Public,0
57,10009,Registered building set,mortgage,19970418,Public,700000000
58,10001,Registered building set,ownership transfer,20080909,Private,0
58,10002,Registered building set,real distress,20131227,Public,0
58,10003,Registered building set,provisional attachment,20140320,Private,50000000
58,10004,Registered building set,random auction,20150702,Public,0
58,10005,Registered building set,real distress,20150715,Public,0
58,10006,Registered building set,mortgage,20080909,Public,216000000
58,10007,Registered building set,mortgage,20100112,Public,127400000
59,10001,Registered building set,provisional attachment,20130722,Public,396000000
59,10002,Registered building set,ownership transfer,20141016,Private,0
59,10003,Registered building set,random auction,20150702,Public,0
59,10004,Registered building set,real distress,20160216,Public,0
59,10005,Registered building set,real distress,20160222,Public,0
59,10006,Registered building set,mortgage,20110819,Public,334800000
59,10007,Registered building set,mortgage,20130719,Public,26000000
59,10008,Registered building set,mortgage,20130722,Private,70000000
59,10009,Registered building set,injunction,20130927,Public,0
60,10001,Registered building set,ownership transfer,20041223,Private,0
60,10002,Registered building set,compulsion,20150702,Public,0
60,10003,Registered building set,random auction,20160219,Public,0
60,10004,Registered building set,mortgage,20090429,Public,140832000
60,10005,Registered building set,mortgage,20090601,Public,221000000
60,10006,Registered building set,mortgage,20130207,Public,214068000
60,10007,Registered building set,mortgage,20141014,Private,220000000
61,10001,Registered building set,random auction,20150702,Public,0
61,10002,Registered building set,random auction,20151104,Public,0
61,10003,Registered building set,real distress,20160525,Public,0
61,10004,Registered building set,ownership transfer,20160607,Private,0
61,10005,Registered building set,mortgage,20061002,Public,819600000
61,10006,Registered building set,mortgage,20071031,Public,2904000000
62,10001,Registered building set,ownership transfer,20060127,Private,0
